"sample","contrs","spec_d","spec_u","spec_m","hetero","design","ft_pt_cf","numerator","denom1","denom2","denom3","denom4","mvpf_1","mvpf_2","mvpf_3","mvpf_4","eff_fed_liab","eff_st_liab","eff_pay_liab","eff_fedeitc","eff_ctc","eff_caleitc","eff_st_nocal_liab","direct_real"
0,0,1,0,0,2,0,2,624.826431030248,760.587008713685,779.65485470096,996.105968527348,996.106015353562,0.821505526484029,0.801414147892279,0.627269036399809,0.627269006912351,-19.0678459872749,-135.760624509651,-216.451113826388,21.1546155313819,-66.2174633236172,135.760577683437,-4.68262141213082e-05,760.587008713685
0,0,1,0,0,2,0,3,624.826431030248,760.587008713685,888.940372260093,1158.07988389287,1158.07993071908,0.821505526484029,0.7028890244254,0.539536555051715,0.539536533235902,-128.353363546408,-135.760624509651,-269.139511632777,85.9580733638636,-66.2174633236172,135.760577683437,-4.68262141213082e-05,760.587008713685
0,0,1,0,1,0,0,1,618.684710500445,760.587008713685,554.601407628293,710.722040634898,710.722126316401,0.813430552208317,1.11554839564183,0.870501652021042,0.870501547077229,205.985601085392,-141.902383894743,-156.120633006605,-133.428575325554,-83.1665586750944,141.90229821324,-8.56815028490587e-05,760.587008713685
0,0,1,0,1,0,0,2,618.413952350608,760.587008713685,749.056314806748,1016.85163025729,1016.85171593879,0.813074566441093,0.825590733468624,0.608165374327162,0.608165323082204,11.5306939069368,-142.17314204458,-267.795315450539,2.04664796366428,-88.2629304265925,142.173056363078,-8.56815028490587e-05,760.587008713685
0,0,1,0,1,0,0,3,618.413952350608,760.587008713685,878.256246157697,1208.81816435153,1208.81825003303,0.813074566441093,0.704138404999818,0.511585588790649,0.511585552529266,-117.669237444011,-142.17314204458,-330.561918193831,78.2656650418543,-88.2629304265925,142.173056363078,-8.56815028490587e-05,760.587008713685
0,0,1,0,1,1,0,1,622.524843401518,760.587008713685,559.000033878344,710.592236468127,710.592324003651,0.818479458983056,1.11364008170525,0.876064797014485,0.876064689094952,201.586974835341,-138.062252847692,-151.592202589782,-130.875823586676,-80.8554250721315,138.062165312167,-8.75355246795084e-05,760.587008713685
0,0,1,0,1,1,0,2,622.287708059718,760.587008713685,749.666833810685,1010.90040197944,1010.90048951496,0.818167679608594,0.830085686059396,0.615577664071772,0.615577610767896,10.920174903,-138.299388189492,-261.233568168753,2.06012385034536,-85.9410225469736,138.299300653967,-8.75355246795084e-05,760.587008713685
0,0,1,0,1,1,0,3,622.287708059718,760.587008713685,875.650699807093,1198.08199021903,1198.08207775455,0.818167679608594,0.71065746672367,0.519403273849358,0.519403235900173,-115.063691093408,-138.299388189492,-322.431290411936,76.3304125224068,-85.9410225469736,138.299300653967,-8.75355246795084e-05,760.587008713685
0,0,1,0,1,2,0,1,629.436769899925,760.587008713685,606.649777897982,745.151943680879,745.151958262897,0.827567080016837,1.03756202150259,0.844709290820141,0.844709274289867,153.937230815703,-131.150253395779,-138.502165782897,-101.578434697283,-63.5268573209521,131.15023881376,-1.45820182079134e-05,760.587008713685
0,0,1,0,1,2,0,2,629.208430765891,760.587008713685,790.112642112843,1030.38706557665,1030.38708015866,0.827266865667369,0.796352820128687,0.610652493404273,0.610652484762331,-29.5256333991575,-131.378592529813,-240.274423463803,19.3584969449093,-64.1271378444512,131.378577947795,-1.45820182079134e-05,760.587008713685
0,0,1,0,1,2,0,3,629.208430765891,760.587008713685,908.182853836105,1205.58111056597,1205.58112514799,0.827266865667369,0.692821305872661,0.52191298059614,0.52191297428338,-147.59584512242,-131.378592529813,-297.398256729866,87.3040073365671,-64.1271378444512,131.378577947795,-1.45820182079134e-05,760.587008713685
0,0,1,1,0,0,0,1,626.536532440186,760.587008713685,565.999124805802,713.481198557747,713.48127949827,0.823753923301679,1.10695671597576,0.878140214075279,0.878140114455106,194.587883907883,-134.050557214022,-147.482073751945,-126.045626435218,-78.5647374341402,134.050476273499,-8.09405232287759e-05,760.587008713685
0,0,1,1,0,0,0,2,626.280756040525,760.587008713685,749.694337985646,1002.67184456564,1002.67192550617,0.823417635149593,0.83538146723007,0.624611890156176,0.624611839734486,10.8926707280389,-134.306333613683,-252.977506579996,1.93340162737255,-83.3791137279513,134.30625267316,-8.09405232287759e-05,760.587008713685
