"outcome","spec","relative_time","year","estimate","se","ci_lower","ci_upper","att","B","seed"
"full_time_y","basic",-5,2010,-0.0797849917651258,0.426582251819188,-0.91587084177473,0.756300858244478,-1.14600656022435,500,56608
"full_time_y","basic",-4,2011,-0.0972736094974617,0.321782877145129,-0.727956459543592,0.533409240548668,-1.14600656022435,500,56608
"full_time_y","basic",-3,2012,-0.149467950872833,0.293278264614952,-0.724282786966546,0.42534688522088,-1.14600656022435,500,56608
"full_time_y","basic",-2,2013,-0.120063446460005,0.294744516888889,-0.697752084202885,0.457625191282876,-1.14600656022435,500,56608
"full_time_y","basic",-1,2014,0.274544235048585,0.350889691141,-0.413186922134158,0.962275392231328,-1.14600656022435,500,56608
"full_time_y","basic",0,2015,-2.36683459792892,1.16324620587539,-4.64675526659754,-0.0869139292602967,-1.14600656022435,500,56608
"full_time_y","basic",1,2016,-1.47895367016909,1.22863969319103,-3.88704321879986,0.929135878461675,-1.14600656022435,500,56608
"full_time_y","basic",2,2017,0.407768587424957,1.49353694948037,-2.51951004313638,3.33504721798629,-1.14600656022435,500,56608
"full_time_y","basic_cov",-5,2010,0.238093387180401,0.425568532852341,-0.596005610163737,1.07219238452454,-3.66802269057569,500,56609
"full_time_y","basic_cov",-4,2011,0.156312594182923,0.377223531989077,-0.58303194263666,0.895657131002507,-3.66802269057569,500,56609
"full_time_y","basic_cov",-3,2012,-0.0832839893258372,0.324562246313917,-0.719414302842531,0.552846324190857,-3.66802269057569,500,56609
"full_time_y","basic_cov",-2,2013,-0.282692511742739,0.334047830339032,-0.937414228320989,0.372029204835511,-3.66802269057569,500,56609
"full_time_y","basic_cov",-1,2014,-0.108076516055658,0.345010460428457,-0.784284592785015,0.5681315606737,-3.66802269057569,500,56609
"full_time_y","basic_cov",0,2015,-4.17226309645193,1.40288744752975,-6.92187196797357,-1.42265422493029,-3.66802269057569,500,56609
"full_time_y","basic_cov",1,2016,-4.26262429774565,1.73020742600482,-7.65376853849884,-0.871480056992447,-3.66802269057569,500,56609
"full_time_y","basic_cov",2,2017,-2.5691806775295,1.92288864460018,-6.33797316722689,1.19961181216789,-3.66802269057569,500,56609
"full_time_y","triple",-5,2010,-0.0182264918811961,0.405777775448952,-0.813536317487924,0.777083333725532,-2.56344989426188,500,56610
"full_time_y","triple",-4,2011,0.173177356805976,0.48785267624277,-0.782996318391333,1.12935103200328,-2.56344989426188,500,56610
"full_time_y","triple",-3,2012,-0.0311915135025806,0.395576282673906,-0.806506780681671,0.74412375367651,-2.56344989426188,500,56610
"full_time_y","triple",-2,2013,-0.0683062526325555,0.484849605554321,-1.01859401743748,0.881981512172366,-2.56344989426188,500,56610
"full_time_y","triple",-1,2014,-0.08441806352945,0.499498818692825,-1.06341775848769,0.894581631428789,-2.56344989426188,500,56610
"full_time_y","triple",0,2015,-3.08165429383644,1.75966976731549,-6.53054366245878,0.367235074785897,-2.56344989426188,500,56610
"full_time_y","triple",1,2016,-3.70733257312786,1.87099199383254,-7.37440949640242,-0.0402556498532962,-2.56344989426188,500,56610
"full_time_y","triple",2,2017,-0.901362815821341,1.786808868538,-4.40344384541258,2.6007182137699,-2.56344989426188,500,56610
"full_time_y","triple_cov",-5,2010,-0.0141066992783858,0.434614519330911,-0.865935504325158,0.837722105768386,-5.02129650114607,500,56611
"full_time_y","triple_cov",-4,2011,0.200649095589598,0.487210195559258,-0.754265340607263,1.15556353178646,-5.02129650114607,500,56611
"full_time_y","triple_cov",-3,2012,0.0371762415685739,0.377267546881114,-0.702254562854186,0.776607045991334,-5.02129650114607,500,56611
"full_time_y","triple_cov",-2,2013,0.0190406066597606,0.491846696053397,-0.944961203519915,0.983042416839436,-5.02129650114607,500,56611
"full_time_y","triple_cov",-1,2014,-0.255302450410374,0.507791217586184,-1.25055494854504,0.739950047724287,-5.02129650114607,500,56611
"full_time_y","triple_cov",0,2015,-4.16522512772809,2.03672224967362,-8.15712738359977,-0.17332287185641,-5.02129650114607,500,56611
"full_time_y","triple_cov",1,2016,-6.62132057944044,2.74549860373805,-12.002398962372,-1.24024219650886,-5.02129650114607,500,56611
"full_time_y","triple_cov",2,2017,-4.27734379626967,2.74582173825535,-9.65905551121732,1.10436791867799,-5.02129650114607,500,56611
"part_time_y","basic",-5,2010,-0.527918917099061,0.324296118403431,-1.16352762949592,0.107689795297801,3.08377832115688,500,56612
"part_time_y","basic",-4,2011,0.415975584270923,0.321312890911854,-0.213786109684758,1.0457372782266,3.08377832115688,500,56612
